source	source_key	text	translate	type	level	transcription	example	example_ru	memory_hint	topics	forms
core5000	core5000:highlight:verb:1	highlight	выделять; подчёркивать	verb	B1		We need to highlight it.	Нужно выполнить действие: выделять; подчёркивать.	Highlight = high + light: как будто подсветить важное.	education,IT	highlights,highlighted,highlighting
core5000	core5000:highway:noun:1	highway	шоссе; автомагистраль	noun	A2		The highway is important.	Это важно: шоссе; автомагистраль.	Highway = high + way: большая главная дорога.	transport,travel	highways
core5000	core5000:historic:adjective:1	historic	исторически важный	adjective	B1		This is historic.	Это можно описать как: исторически важный.	Historic = исторически важный. Historical = связанный с историей.	history,society	
core5000	core5000:historical:adjective:1	historical	исторический	adjective	A2		This is historical.	Это можно описать как: исторический.	Historical = связанный с историей. Historic = исторически важный.	history,art	
core5000	core5000:honor:noun:1	honor	честь	noun	B2		The honor is important.	Это важно: честь.	Honor = честь.	people,society	honors
core5000	core5000:horizon:noun:1	horizon	горизонт	noun	B1		The horizon is important.	Это важно: горизонт.	Horizon почти как “горизонт”.	nature,travel	horizons
core5000	core5000:horizontal:adjective:1	horizontal	горизонтальный	adjective	B1		This is horizontal.	Это можно описать как: горизонтальный.	Horizontal связано с horizon — горизонт.	education,IT	
core5000	core5000:horror:noun:1	horror	ужас; хоррор	noun	B1		The horror is important.	Это важно: ужас; хоррор.	Horror почти как “хоррор”: жанр ужасов или чувство ужаса.	art,emotions	
core5000	core5000:household:noun:1	household	домохозяйство; семья	noun	B1		The household is important.	Это важно: домохозяйство; семья.	Household = house + hold: люди, живущие вместе в доме.	home,society	households
core5000	core5000:housework:noun:1	housework	работа по дому	noun	A2		The housework is important.	Это важно: работа по дому.	Housework = house + work: работа по дому.	home,daily life	
core5000	core5000:humor:noun:1	humor	юмор	noun	B1		The humor is important.	Это важно: юмор.	Humor почти как “юмор”.	emotions,communication	
core5000	core5000:identity:noun:1	identity	личность; идентичность	noun	B2		The identity is important.	Это важно: личность; идентичность.	Identity связано с identify — идентифицировать.	people,society,IT	identities
core5000	core5000:illustrate:verb:1	illustrate	иллюстрировать; показывать примером	verb	B2		We need to illustrate it.	Нужно выполнить действие: иллюстрировать; показывать примером.	Illustrate почти как “иллюстрировать”.	education,art	illustrates,illustrated,illustrating
core5000	core5000:illustration:noun:1	illustration	иллюстрация	noun	B1		The illustration is important.	Это важно: иллюстрация.	Illustration связано с illustrate — иллюстрировать.	art,education	illustrations
core5000	core5000:immense:adjective:1	immense	огромный	adjective	B2		This is immense.	Это можно описать как: огромный.	Immense = очень большой, огромный.	work,communication	
core5000	core5000:immigrant:noun:1	immigrant	иммигрант	noun	B1		The immigrant is important.	Это важно: иммигрант.	Immigrant похоже на “иммигрант”.	people,society	immigrants
core5000	core5000:immigration:noun:1	immigration	иммиграция	noun	B1		The immigration is important.	Это важно: иммиграция.	Immigration почти как “иммиграция”.	society,people	
core5000	core5000:implement:verb:1	implement	реализовывать; внедрять	verb	B2		We need to implement it.	Нужно выполнить действие: реализовывать; внедрять.	Implement = внедрить/реализовать план или функцию.	work,IT	implements,implemented,implementing
core5000	core5000:implementation:noun:1	implementation	реализация; внедрение	noun	B2		The implementation is important.	Это важно: реализация; внедрение.	Implementation связано с implement — реализовывать.	work,IT	implementations
core5000	core5000:implication:noun:1	implication	последствие; скрытый смысл	noun	B2		The implication is important.	Это важно: последствие; скрытый смысл.	Implication часто значит не прямой результат, а последствие или скрытый смысл.	communication,work	implications
core5000	core5000:imply:verb:1	imply	подразумевать	verb	B2		We need to imply it.	Нужно выполнить действие: подразумевать.	Imply = подразумевать. Implication = скрытый смысл/последствие.	communication,education	implies,implied,implying
core5000	core5000:import:verb:1	import	импортировать; ввозить	verb	B1		We need to import it.	Нужно выполнить действие: импортировать; ввозить.	Import почти как “импортировать”. Пара: import — export.	IT,business	imports,imported,importing
core5000	core5000:inbox:noun:1	inbox	входящие	noun	B1		The inbox is important.	Это важно: входящие.	Inbox = in + box: ящик для входящих сообщений.	communication,IT	inboxes
core5000	core5000:incident:noun:1	incident	инцидент; происшествие	noun	B1		The incident is important.	Это важно: инцидент; происшествие.	Incident почти как “инцидент”: происшествие, случай.	society,communication	incidents
core5000	core5000:indicate:verb:1	indicate	указывать; показывать	verb	B1		We need to indicate it.	Нужно выполнить действие: указывать; показывать.	Indicate связано с indicator — указатель/индикатор.	communication,IT	indicates,indicated,indicating
core5000	core5000:indicator:noun:1	indicator	индикатор; показатель	noun	B2		The indicator is important.	Это важно: индикатор; показатель.	Indicator почти как “индикатор”.	education,IT	indicators
core5000	core5000:inevitable:adjective:1	inevitable	неизбежный	adjective	B2		This is inevitable.	Это можно описать как: неизбежный.	Inevitable = то, чего нельзя избежать.	communication,time	
core5000	core5000:initially:adverb:1	initially	изначально; сначала	adverb	B2		It changed initially.	Это изменилось так: изначально; сначала.	Initially = initial + -ly: начальный → изначально.	time,work	
core5000	core5000:innovation:noun:1	innovation	инновация; нововведение	noun	B2		The innovation is important.	Это важно: инновация; нововведение.	Innovation почти как “инновация”.	technology,work	innovations
core5000	core5000:innovative:adjective:1	innovative	инновационный	adjective	B2		This is innovative.	Это можно описать как: инновационный.	Innovative связано с innovation — инновация.	technology,work	
core5000	core5000:insight:noun:1	insight	понимание; озарение	noun	B2		The insight is important.	Это важно: понимание; озарение.	Insight = in + sight: как будто “видение внутрь”, глубокое понимание.	education,work	insights
core5000	core5000:inspire:verb:1	inspire	вдохновлять	verb	B1		We need to inspire it.	Нужно выполнить действие: вдохновлять.	Inspire связано с inspiration — вдохновение.	emotions,art	inspires,inspired,inspiring
core5000	core5000:install:verb:1	install	устанавливать	verb	A2		We need to install it.	Нужно выполнить действие: устанавливать.	Install почти как “инсталлировать/установить”.	IT,technology	installs,installed,installing
core5000	core5000:institution:noun:1	institution	учреждение; институт	noun	B2		The institution is important.	Это важно: учреждение; институт.	Institution связано с institute — институт/учреждение.	education,society	institutions
core5000	core5000:integration:noun:1	integration	интеграция	noun	B2		The integration is important.	Это важно: интеграция.	Integration почти как “интеграция”.	IT,work	integrations
core5000	core5000:intellectual:adjective:1	intellectual	интеллектуальный	adjective	B2		This is intellectual.	Это можно описать как: интеллектуальный.	Intellectual почти как “интеллектуальный”.	education,people	
core5000	core5000:intensity:noun:1	intensity	интенсивность	noun	B2		The intensity is important.	Это важно: интенсивность.	Intensity связано с intense — интенсивный, сильный.	weather,science	
core5000	core5000:interaction:noun:1	interaction	взаимодействие	noun	B2		The interaction is important.	Это важно: взаимодействие.	Interaction = inter + action: действие между людьми или объектами.	communication,IT	interactions
core5000	core5000:interpret:verb:1	interpret	толковать; интерпретировать	verb	B2		We need to interpret it.	Нужно выполнить действие: толковать; интерпретировать.	Interpret почти как “интерпретировать”.	communication,education	interprets,interpreted,interpreting
core5000	core5000:interval:noun:1	interval	интервал; промежуток	noun	B1		The interval is important.	Это важно: интервал; промежуток.	Interval почти как “интервал”.	time,IT	intervals
core5000	core5000:invest:verb:1	invest	инвестировать; вкладывать	verb	B1		We need to invest it.	Нужно выполнить действие: инвестировать; вкладывать.	Invest почти как “инвестировать”.	money,work	invests,invested,investing
core5000	core5000:investment:noun:1	investment	инвестиция; вложение	noun	B1		The investment is important.	Это важно: инвестиция; вложение.	Investment связано с invest — инвестировать.	money,work	investments
core5000	core5000:investor:noun:1	investor	инвестор	noun	B1		The investor is important.	Это важно: инвестор.	Investor = invest + -or: человек, который инвестирует.	money,work	investors
core5000	core5000:journal:noun:1	journal	журнал; дневник	noun	B1		The journal is important.	Это важно: журнал; дневник.	Journal может быть журнал, дневник или научное издание.	education,communication	journals
core5000	core5000:journalist:noun:1	journalist	журналист	noun	A2		The journalist is important.	Это важно: журналист.	Journalist почти как “журналист”.	media,people	journalists
core5000	core5000:keyboard:noun:1	keyboard	клавиатура	noun	A2		The keyboard is important.	Это важно: клавиатура.	Keyboard = key + board: доска с клавишами.	IT,technology	keyboards
core5000	core5000:keyword:noun:1	keyword	ключевое слово	noun	B1		The keyword is important.	Это важно: ключевое слово.	Keyword = key + word: ключевое слово для поиска.	IT,education	keywords
core5000	core5000:landscape:noun:1	landscape	пейзаж; ландшафт	noun	B1		The landscape is important.	Это важно: пейзаж; ландшафт.	Landscape почти как “ландшафт”.	nature,art	landscapes
core5000	core5000:lane:noun:1	lane	полоса; переулок	noun	B1		The lane is important.	Это важно: полоса; переулок.	Lane = полоса движения или узкая улица.	transport,city	lanes
core5000	core5000:largely:adverb:1	largely	в основном; в значительной степени	adverb	B2		It changed largely.	Это изменилось так: в основном; в значительной степени.	Largely = large + -ly: в большой степени.	communication,work	
core5000	core5000:layer:verb:1	layer	накладывать слоями	verb	B2		We need to layer it.	Нужно выполнить действие: накладывать слоями.	Layer как noun = слой, как verb = накладывать слоями.	IT,art	layers,layered,layering
core5000	core5000:leadership:noun:1	leadership	лидерство; руководство	noun	B2		The leadership is important.	Это важно: лидерство; руководство.	Leadership = leader + -ship: качество/роль лидера.	work,people	
core5000	core5000:lifetime:noun:1	lifetime	жизнь; срок службы	noun	B2		The lifetime is important.	Это важно: жизнь; срок службы.	Lifetime = life + time: время жизни или срок службы.	time,people	lifetimes
core5000	core5000:literally:adverb:1	literally	буквально	adverb	B1		It changed literally.	Это изменилось так: буквально.	Literally = буквально. Не путать с figuratively — образно.	communication,education	
core5000	core5000:literature:noun:1	literature	литература	noun	B1		The literature is important.	Это важно: литература.	Literature почти как “литература”.	art,education	
core5000	core5000:living:adjective:1	living	живой; жилой	adjective	B1		This is living.	Это можно описать как: живой; жилой.	Living = live + -ing: живущий/живой.	nature,home	
core5000	core5000:log:noun:1	log	журнал; лог	noun	B1		The log is important.	Это важно: журнал; лог.	Log = журнал записей. В IT log = файл/список событий.	IT,work	logs
core5000	core5000:logical:adjective:1	logical	логичный	adjective	B1		This is logical.	Это можно описать как: логичный.	Logical связано с logic — логика.	education,communication	
core5000	core5000:loose:adjective:1	loose	свободный; неплотный	adjective	B1		This is loose.	Это можно описать как: свободный; неплотный.	Loose = свободный/неплотный. Не путать с lose — терять.	clothes,daily life	looser,loosest
core5000	core5000:loyal:adjective:1	loyal	верный; лояльный	adjective	B2		This is loyal.	Это можно описать как: верный; лояльный.	Loyal почти как “лояльный”, но чаще значит верный/преданный.	people,work	
core5000	core5000:loyalty:noun:1	loyalty	верность; лояльность	noun	B2		The loyalty is important.	Это важно: верность; лояльность.	Loyalty связано с loyal — верный/лояльный.	people,work	
