source	source_key	text	translate	type	level	transcription	example	example_ru	memory_hint	topics	forms
oxford3000	oxford3000:any:pronoun:1	any	кто-нибудь; что-нибудь; любой	pronoun	A1	[ˈeni]	Do you need any?	Тебе что-нибудь нужно?		grammar,basic words	
oxford3000	oxford3000:boring:adjective:1	boring	скучный	adjective	A1	[ˈbɔːrɪŋ]	This film is boring.	Этот фильм скучный.		emotions,describing things	
oxford3000	oxford3000:anyone:pronoun:1	anyone	кто-нибудь; любой человек	pronoun	A1	[ˈeniwʌn]	Can anyone help me?	Кто-нибудь может мне помочь?		people,grammar	
oxford3000	oxford3000:born:verb:1	born	родившийся; родиться	verb	A1	[bɔːn]	She was born in April.	Она родилась в апреле.		family,people	
oxford3000	oxford3000:cold:noun:1	cold	простуда; холод	noun	A1	[kəʊld]	I have a cold.	У меня простуда.		health,weather	colds
oxford3000	oxford3000:down:adverb:1	down	вниз; ниже	adverb	A1	[daʊn]	Sit down, please.	Сядь, пожалуйста.		movement,place	
oxford3000	oxford3000:down:preposition:1	down	вниз по; вдоль	preposition	A1	[daʊn]	She walked down the street.	Она шла вниз по улице.		movement,place	
oxford3000	oxford3000:anything:pronoun:1	anything	что-нибудь; что-либо	pronoun	A1	[ˈeniθɪŋ]	Did you buy anything?	Ты что-нибудь купил?		grammar,basic words	
oxford3000	oxford3000:both:determiner:1	both	оба; обе	determiner	A1	[bəʊθ]	Both answers are correct.	Оба ответа правильные.		grammar,numbers	
oxford3000	oxford3000:both:pronoun:1	both	оба; обе	pronoun	A1	[bəʊθ]	Both are good.	Оба хорошие.		grammar,numbers	
oxford3000	oxford3000:college:noun:1	college	колледж; учебное заведение	noun	A1	[ˈkɒlɪdʒ]	She studies at college.	Она учится в колледже.		education,place	colleges
oxford3000	oxford3000:downstairs:adverb:1	downstairs	внизу; вниз по лестнице	adverb	A1	[ˌdaʊnˈsteəz]	The kitchen is downstairs.	Кухня находится внизу.		home,place	
oxford3000	oxford3000:apartment:noun:1	apartment	квартира	noun	A1	[əˈpɑːtmənt]	They live in a small apartment.	Они живут в маленькой квартире.		home,place	apartments
oxford3000	oxford3000:bottle:noun:1	bottle	бутылка	noun	A1	[ˈbɒtl]	I bought a bottle of water.	Я купил бутылку воды.		food,daily life	bottles
oxford3000	oxford3000:colour:noun:1	colour	цвет	noun	A1	[ˈkʌlə]	What colour is your bag?	Какого цвета твоя сумка?		colors,describing things	colours
oxford3000	oxford3000:draw:verb:1	draw	рисовать; тянуть	verb	A1	[drɔː]	She likes to draw animals.	Она любит рисовать животных.		art,education	draws,drew,drawn,drawing
oxford3000	oxford3000:box:noun:1	box	коробка; ящик	noun	A1	[bɒks]	Put the books in the box.	Положи книги в коробку.		home,daily life	boxes
oxford3000	oxford3000:dress:noun:1	dress	платье	noun	A1	[dres]	She bought a new dress.	Она купила новое платье.		clothes,daily life	dresses
oxford3000	oxford3000:dress:verb:1	dress	одеваться; одевать	verb	A1	[dres]	Dress warmly today.	Оденься тепло сегодня.		clothes,daily life	dresses,dressed,dressing
oxford3000	oxford3000:april:noun:1	april	апрель	noun	A1	[ˈeɪprəl]	My birthday is in April.	Мой день рождения в апреле.		time,calendar	
oxford3000	oxford3000:boy:noun:1	boy	мальчик	noun	A1	[bɔɪ]	The boy is reading.	Мальчик читает.		people,family	boys
oxford3000	oxford3000:drink:noun:1	drink	напиток	noun	A1	[drɪŋk]	Would you like a drink?	Хочешь напиток?		food,daily life	drinks
oxford3000	oxford3000:drink:verb:1	drink	пить	verb	A1	[drɪŋk]	Drink some water.	Попей воды.		food,daily life	drinks,drank,drunk,drinking
oxford3000	oxford3000:boyfriend:noun:1	boyfriend	парень; молодой человек	noun	A1	[ˈbɔɪfrend]	Her boyfriend is kind.	Её парень добрый.		people,relationships	boyfriends
oxford3000	oxford3000:company:noun:1	company	компания; фирма	noun	A1	[ˈkʌmpəni]	He works for a big company.	Он работает в большой компании.		work,business	companies
oxford3000	oxford3000:drive:verb:1	drive	водить машину; ехать	verb	A1	[draɪv]	Can you drive a car?	Ты умеешь водить машину?		transport,movement	drives,drove,driven,driving
oxford3000	oxford3000:arm:noun:1	arm	рука	noun	A1	[ɑːm]	He broke his arm.	Он сломал руку.		body,health	arms
oxford3000	oxford3000:around:preposition:1	around	вокруг; около	preposition	A1	[əˈraʊnd]	We walked around the park.	Мы гуляли вокруг парка.		place,movement	
oxford3000	oxford3000:around:adverb:1	around	вокруг; поблизости; примерно	adverb	A1	[əˈraʊnd]	There were around ten people.	Было примерно десять человек.		place,numbers	
oxford3000	oxford3000:break:verb:1	break	ломать; разбивать; нарушать	verb	A1	[breɪk]	Don't break the glass.	Не разбей стакан.		basic verbs,daily life	breaks,broke,broken,breaking
oxford3000	oxford3000:break:noun:1	break	перерыв; пауза	noun	A1	[breɪk]	Let's take a short break.	Давай сделаем короткий перерыв.		time,work	breaks
oxford3000	oxford3000:complete:adjective:1	complete	полный; законченный	adjective	A1	[kəmˈpliːt]	This is the complete list.	Это полный список.		describing things,education	
oxford3000	oxford3000:during:preposition:1	during	во время; в течение	preposition	A1	[ˈdjʊərɪŋ]	I slept during the film.	Я спал во время фильма.		time,grammar	
oxford3000	oxford3000:breakfast:noun:1	breakfast	завтрак	noun	A1	[ˈbrekfəst]	Breakfast is ready.	Завтрак готов.		food,daily life	breakfasts
oxford3000	oxford3000:dvd:noun:1	dvd	DVD-диск	noun	A1	[ˌdiː viː ˈdiː]	We watched a DVD.	Мы посмотрели DVD-диск.		technology,media	dvds
oxford3000	oxford3000:art:noun:1	art	искусство; рисование	noun	A1	[ɑːt]	She studies art.	Она изучает искусство.		art,education	
oxford3000	oxford3000:bring:verb:1	bring	приносить; приводить	verb	A1	[brɪŋ]	Bring your book tomorrow.	Принеси свою книгу завтра.		basic verbs,movement	brings,brought,bringing
oxford3000	oxford3000:concert:noun:1	concert	концерт	noun	A1	[ˈkɒnsət]	We went to a concert.	Мы ходили на концерт.		music,art	concerts
oxford3000	oxford3000:each:determiner:1	each	каждый	determiner	A1	[iːtʃ]	Each student has a book.	У каждого студента есть книга.		grammar,basic words	
oxford3000	oxford3000:each:pronoun:1	each	каждый; каждый из них	pronoun	A1	[iːtʃ]	Each has a different colour.	У каждого свой цвет.		grammar,basic words	
oxford3000	oxford3000:each:adverb:1	each	каждому; за штуку	adverb	A1	[iːtʃ]	Tickets cost ten dollars each.	Билеты стоят по десять долларов каждый.		money,numbers	
oxford3000	oxford3000:brother:noun:1	brother	брат	noun	A1	[ˈbrʌðə]	My brother is older than me.	Мой брат старше меня.		family,people	brothers
oxford3000	oxford3000:conversation:noun:1	conversation	разговор; беседа	noun	A1	[ˌkɒnvəˈseɪʃən]	We had a short conversation.	У нас был короткий разговор.		communication,people	conversations
oxford3000	oxford3000:ear:noun:1	ear	ухо	noun	A1	[ɪə]	My ear hurts.	У меня болит ухо.		body,health	ears
oxford3000	oxford3000:brown:adjective:1	brown	коричневый	adjective	A1	[braʊn]	He has brown eyes.	У него карие глаза.		colors,appearance	
oxford3000	oxford3000:brown:noun:1	brown	коричневый цвет	noun	A1	[braʊn]	Brown is a warm colour.	Коричневый — тёплый цвет.		colors,art	
