source	source_key	text	translate	type	level	transcription	example	example_ru	memory_hint	topics	forms
core5000	core5000:cabin:noun:1	cabin	кабина; хижина	noun	B1	[ˈkæbɪn]	We stayed in a small cabin near the lake.	Мы остановились в маленькой хижине у озера.	Cabin = небольшое помещение: хижина, каюта или кабина.	travel,home	cabins
core5000	core5000:calendar:noun:1	calendar	календарь	noun	A2	[ˈkælɪndə]	Add the meeting to your calendar.	Добавь встречу в календарь.	Calendar почти как “календарь”.	time,IT	calendars
core5000	core5000:campaign:noun:1	campaign	кампания	noun	B1	[kæmˈpeɪn]	The campaign started online.	Кампания началась онлайн.	Campaign почти как “кампания”: организованная серия действий.	business,society	campaigns
core5000	core5000:cancel:verb:1	cancel	отменять	verb	A2	[ˈkænsəl]	Cancel the order if the price is wrong.	Отмени заказ, если цена неправильная.	Cancel = отменять. В интерфейсах Cancel = отмена.	IT,shopping	cancels,cancelled,cancelling
core5000	core5000:capable:adjective:1	capable	способный	adjective	B2	[ˈkeɪpəbəl]	She is capable of solving the problem.	Она способна решить проблему.	Capable часто идёт с of: capable of doing something.	people,work	
core5000	core5000:capacity:noun:1	capacity	вместимость; способность	noun	B2	[kəˈpæsəti]	The stadium has a capacity of 50,000.	Стадион вмещает 50 000 человек.	Capacity = вместимость или способность что-то делать.	technology,work	capacities
core5000	core5000:carbon:noun:1	carbon	углерод	noun	B1	[ˈkɑːbən]	Carbon is an important element.	Углерод — важный элемент.	Carbon почти как “карбон/углерод”.	science,nature	
core5000	core5000:careless:adjective:1	careless	неосторожный; невнимательный	adjective	B1	[ˈkeələs]	It was a careless mistake.	Это была невнимательная ошибка.	Careless = care + -less: без заботы/внимания.	people,education	
core5000	core5000:carpet:noun:1	carpet	ковёр	noun	A2	[ˈkɑːpɪt]	The carpet is soft.	Ковёр мягкий.	Carpet = ковёр.	home,daily life	carpets
core5000	core5000:carriage:noun:1	carriage	вагон; экипаж	noun	B2	[ˈkærɪdʒ]	Our seats are in the first carriage.	Наши места в первом вагоне.	Carriage связано с carry — перевозить.	transport,travel	carriages
core5000	core5000:cashier:noun:1	cashier	кассир	noun	A2	[kæˈʃɪə]	Pay the cashier at the desk.	Заплати кассиру у стойки.	Cashier связано с cash — наличные деньги.	shopping,work	cashiers
core5000	core5000:castle:noun:1	castle	замок	noun	A2	[ˈkɑːsəl]	The old castle is on the hill.	Старый замок находится на холме.	Castle = замок-крепость.	history,travel	castles
core5000	core5000:casual:adjective:1	casual	повседневный; неформальный	adjective	B1	[ˈkæʒuəl]	Wear casual clothes.	Надень повседневную одежду.	Casual = неформальный/повседневный.	clothes,communication	
core5000	core5000:catalog:noun:1	catalog	каталог	noun	B1	[ˈkætəlɒɡ]	Check the product catalog.	Проверь каталог товаров.	Catalog почти как “каталог”. В IT catalog = каталог/список объектов.	shopping,IT	catalogs
core5000	core5000:ceiling:noun:1	ceiling	потолок	noun	A2	[ˈsiːlɪŋ]	The ceiling is very high.	Потолок очень высокий.	Ceiling = потолок.	home,building	ceilings
core5000	core5000:celebrity:noun:1	celebrity	знаменитость	noun	B1	[səˈlebrəti]	The celebrity gave an interview.	Знаменитость дала интервью.	Celebrity связано с celebrate: человек, которого “празднуют”/знают.	people,media	celebrities
core5000	core5000:cell:noun:1	cell	клетка; ячейка	noun	B1	[sel]	A table cell can contain text.	Ячейка таблицы может содержать текст.	Cell = клетка организма или ячейка таблицы.	science,IT	cells
core5000	core5000:census:noun:1	census	перепись населения	noun	B2	[ˈsensəs]	The census collects population data.	Перепись собирает данные о населении.	Census = официальная перепись населения.	society,statistics	censuses
core5000	core5000:ceramic:adjective:1	ceramic	керамический	adjective	B2	[səˈræmɪk]	The cup is ceramic.	Чашка керамическая.	Ceramic почти как “керамический”.	home,art	
core5000	core5000:certificate:noun:1	certificate	сертификат	noun	B1	[səˈtɪfɪkət]	She received a certificate after the course.	Она получила сертификат после курса.	Certificate почти как “сертификат”.	education,work	certificates
core5000	core5000:chain:noun:1	chain	цепь; сеть	noun	B1	[tʃeɪn]	The company owns a chain of shops.	Компания владеет сетью магазинов.	Chain = цепь, а также сеть магазинов/связанных объектов.	business,daily life	chains
core5000	core5000:champion:noun:1	champion	чемпион	noun	A2	[ˈtʃæmpiən]	He became a world champion.	Он стал чемпионом мира.	Champion почти как “чемпион”.	sport,people	champions
core5000	core5000:charity:noun:1	charity	благотворительность	noun	B1	[ˈtʃærəti]	They raised money for charity.	Они собрали деньги на благотворительность.	Charity = благотворительность или благотворительная организация.	society,money	charities
core5000	core5000:charm:noun:1	charm	очарование; очаровывать	noun	B2	[tʃɑːm]	The old town has special charm.	У старого города особое очарование.	Charm = очарование; charming = очаровательный.	emotions,travel	charms
core5000	core5000:chart:noun:1	chart	диаграмма; график	noun	B1	[tʃɑːt]	The chart shows sales growth.	Диаграмма показывает рост продаж.	Chart = диаграмма/график.	education,IT	charts
core5000	core5000:cheer:verb:1	cheer	подбадривать; радоваться	verb	B1	[tʃɪə]	The fans cheered loudly.	Болельщики громко приветствовали команду.	Cheer = подбадривать/радостно кричать.	emotions,sport	cheers,cheered,cheering
core5000	core5000:chemical:noun:1	chemical	химический; химикат	noun	B1	[ˈkemɪkəl]	Be careful with this chemical.	Будь осторожен с этим химикатом.	Chemical связано с chemistry — химия.	science,health	chemicals
core5000	core5000:chest:noun:1	chest	грудная клетка; сундук	noun	B1	[tʃest]	He felt pain in his chest.	Он почувствовал боль в груди.	Chest = грудная клетка, а также сундук.	body,home	chests
core5000	core5000:childhood:noun:1	childhood	детство	noun	B1	[ˈtʃaɪldhʊd]	She spent her childhood in the village.	Она провела детство в деревне.	Childhood = child + -hood: период, когда человек ребёнок.	family,time	
core5000	core5000:chip:noun:1	chip	чип; кусочек	noun	B1	[tʃɪp]	The computer has a powerful chip.	В компьютере мощный чип.	Chip = маленький кусочек, а в технике — микрочип.	IT,technology	chips
core5000	core5000:circuit:noun:1	circuit	цепь; схема	noun	B2	[ˈsɜːkɪt]	The circuit controls the device.	Схема управляет устройством.	Circuit = замкнутая цепь/электрическая схема.	technology,science	circuits
core5000	core5000:circumstance:noun:1	circumstance	обстоятельство	noun	B2	[ˈsɜːkəmstəns]	The decision depends on the circumstances.	Решение зависит от обстоятельств.	Circumstance = обстоятельство. Часто во множественном числе circumstances.	communication,work	circumstances
core5000	core5000:classic:adjective:1	classic	классический	adjective	B1	[ˈklæsɪk]	This is a classic example.	Это классический пример.	Classic почти как “классический”.	art,education	
core5000	core5000:classification:noun:1	classification	классификация	noun	B2	[ˌklæsɪfɪˈkeɪʃən]	The classification is based on level.	Классификация основана на уровне.	Classification связано с classify — классифицировать.	education,IT	classifications
core5000	core5000:classify:verb:1	classify	классифицировать	verb	B2	[ˈklæsɪfaɪ]	Classify the words by topic.	Классифицируй слова по теме.	Classify почти как “классифицировать”.	education,IT	classifies,classified,classifying
core5000	core5000:clerk:noun:1	clerk	служащий; клерк	noun	B1	[klɑːk]	Ask the clerk for help.	Попроси служащего о помощи.	Clerk похоже на “клерк”: офисный служащий или работник.	work,shopping	clerks
core5000	core5000:clickable:adjective:1	clickable	кликабельный	adjective	B1	[ˈklɪkəbəl]	The icon is clickable.	Иконка кликабельна.	Clickable = click + -able: то, на что можно нажать.	IT,design	
core5000	core5000:cliff:noun:1	cliff	утёс; обрыв	noun	B1	[klɪf]	The path goes along the cliff.	Тропа идёт вдоль утёса.	Cliff = высокий обрыв/утёс.	nature,travel	cliffs
core5000	core5000:clip:noun:1	clip	зажим; короткий фрагмент	noun	B1	[klɪp]	Watch this short video clip.	Посмотри этот короткий видеоклип.	Clip = зажим или короткий фрагмент видео/аудио.	media,technology	clips
core5000	core5000:closet:noun:1	closet	шкаф; кладовка	noun	A2	[ˈklɒzɪt]	Put your coat in the closet.	Повесь пальто в шкаф.	Closet = встроенный шкаф/кладовка.	home,clothes	closets
core5000	core5000:coastal:adjective:1	coastal	прибрежный	adjective	B2	[ˈkəʊstəl]	They live in a coastal town.	Они живут в прибрежном городе.	Coastal связано с coast — побережье.	nature,travel	
core5000	core5000:cognitive:adjective:1	cognitive	когнитивный; познавательный	adjective	B2	[ˈkɒɡnətɪv]	Reading improves cognitive skills.	Чтение улучшает когнитивные навыки.	Cognitive связано с cognition — мышление/познание.	education,health	
core5000	core5000:coincidence:noun:1	coincidence	совпадение	noun	B2	[kəʊˈɪnsɪdəns]	It was a strange coincidence.	Это было странное совпадение.	Coincidence = совпадение событий.	communication,daily life	coincidences
core5000	core5000:collapse:verb:1	collapse	рушиться; коллапс	verb	B2	[kəˈlæps]	The old bridge collapsed.	Старый мост рухнул.	Collapse почти как “коллапс”: резкое разрушение или сбой.	building,health	collapses,collapsed,collapsing
core5000	core5000:colleague:noun:1	colleague	коллега	noun	A2	[ˈkɒliːɡ]	My colleague helped me.	Мой коллега помог мне.	Colleague = коллега.	work,people	colleagues
core5000	core5000:colonial:adjective:1	colonial	колониальный	adjective	B2	[kəˈləʊniəl]	The building has colonial architecture.	У здания колониальная архитектура.	Colonial связано с colony — колония.	history,society	
core5000	core5000:combat:noun:1	combat	борьба; сражение	noun	B2	[ˈkɒmbæt]	The program helps combat stress.	Программа помогает бороться со стрессом.	Combat может значить бой, но также “борьба с проблемой”.	society,health	
core5000	core5000:comedy:noun:1	comedy	комедия	noun	A2	[ˈkɒmədi]	We watched a comedy last night.	Вчера вечером мы смотрели комедию.	Comedy почти как “комедия”.	art,emotions	comedies
